"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260201","4호선","사당","16771","15987","20260204",""
"20260201","4호선","남태령","825","599","20260204",""
"20260201","5호선","방화","3920","3936","20260204",""
"20260201","5호선","개화산","3234","3278","20260204",""
"20260201","5호선","김포공항","10602","6467","20260204",""
"20260201","5호선","송정","3837","3875","20260204",""
"20260201","5호선","마곡","7707","7688","20260204",""
"20260201","5호선","발산","11578","11952","20260204",""
"20260201","5호선","우장산","7904","8247","20260204",""
"20260201","5호선","화곡","15651","14971","20260204",""
"20260201","5호선","까치산","16389","16092","20260204",""
"20260201","5호선","신정(은행정)","7019","6392","20260204",""
"20260201","5호선","목동","8310","8670","20260204",""
"20260201","5호선","오목교(목동운동장앞)","11972","12348","20260204",""
"20260201","5호선","양평","3249","3280","20260204",""
"20260201","5호선","영등포구청","2120","1935","20260204",""
"20260201","5호선","영등포시장","6991","7167","20260204",""
"20260201","5호선","신길","2729","2846","20260204",""
"20260201","5호선","여의도","9467","9749","20260204",""
"20260201","5호선","여의나루","6048","7364","20260204",""
"20260201","5호선","마포","5995","6054","20260204",""
"20260201","5호선","공덕","5607","5739","20260204",""
"20260201","5호선","애오개","3053","3117","20260204",""
"20260201","5호선","충정로(경기대입구)","1595","1698","20260204",""
"20260201","5호선","서대문","5465","5408","20260204",""
"20260201","5호선","광화문(세종문화회관)","14890","15056","20260204",""
"20260201","5호선","종로3가","9749","8788","20260204",""
"20260201","5호선","을지로4가","2348","2350","20260204",""
"20260201","5호선","동대문역사문화공원(DDP)","1200","1332","20260204",""
"20260201","5호선","청구","1726","1649","20260204",""
"20260201","5호선","신금호","3223","3540","20260204",""
"20260201","5호선","행당","4087","3851","20260204",""
"20260201","5호선","왕십리(성동구청)","2821","3360","20260204",""
"20260201","5호선","마장","3301","3189","20260204",""
"20260201","5호선","답십리","8111","7582","20260204",""
"20260201","5호선","장한평","9491","9573","20260204",""
"20260201","5호선","군자(능동)","7372","8347","20260204",""
"20260201","5호선","아차산(어린이대공원후문)","10351","9957","20260204",""
"20260201","5호선","광나루(장신대)","7671","7713","20260204",""
"20260201","5호선","천호(풍납토성)","15504","14265","20260204",""
"20260201","5호선","강동","10372","10545","20260204",""
"20260201","5호선","길동","5368","5407","20260204",""
"20260201","5호선","굽은다리(강동구민회관앞)","6006","5728","20260204",""
"20260201","5호선","명일","5572","5465","20260204",""
"20260201","5호선","고덕","5086","5206","20260204",""
"20260201","5호선","상일동","6991","7270","20260204",""
"20260201","5호선","둔촌동","7782","7667","20260204",""
"20260201","5호선","올림픽공원(한국체대)","3811","4002","20260204",""
"20260201","5호선","방이","4851","4603","20260204",""
"20260201","5호선","오금","1611","1636","20260204",""
"20260201","5호선","개롱","3279","3648","20260204",""
"20260201","5호선","마천","3957","3951","20260204",""
"20260201","5호선","강일","3317","3164","20260204",""
"20260201","5호선","미사","11044","11081","20260204",""
"20260201","5호선","하남풍산","3332","3134","20260204",""
"20260201","5호선","하남시청(덕풍·신장)","5125","4917","20260204",""
"20260201","5호선","하남검단산","5006","4834","20260204",""
"20260201","6호선","응암","10416","10670","20260204",""
"20260201","6호선","역촌","2305","2608","20260204",""
"20260201","6호선","불광","3337","2806","20260204",""
"20260201","6호선","독바위","1504","1879","20260204",""
"20260201","6호선","연신내","2","0","20260204",""
"20260201","6호선","구산","4633","3733","20260204",""
"20260201","6호선","새절(신사)","6631","6625","20260204",""
"20260201","6호선","증산(명지대앞)","5417","5502","20260204",""
"20260201","6호선","디지털미디어시티","6110","6675","20260204",""
"20260201","1호선","서울역","51410","49956","20260204",""
"20260201","6호선","월드컵경기장(성산)","3367","3343","20260204",""
"20260201","6호선","마포구청","8015","7233","20260204",""
"20260201","6호선","망원","12319","12885","20260204",""
"20260201","6호선","합정","10053","9397","20260204",""
"20260201","6호선","상수","8042","8603","20260204",""
"20260201","6호선","광흥창(서강)","4701","4680","20260204",""
"20260201","6호선","대흥(서강대앞)","4662","4832","20260204",""
"20260201","6호선","공덕","8598","8135","20260204",""
"20260201","6호선","효창공원앞","4042","3662","20260204",""
"20260201","6호선","삼각지(전쟁기념관)","5461","4742","20260204",""
"20260201","6호선","녹사평(용산구청)","3640","3967","20260204",""
"20260201","6호선","이태원","9760","8295","20260204",""
"20260201","6호선","한강진","6784","7891","20260204",""
"20260201","6호선","버티고개","1328","1380","20260204",""
"20260201","6호선","약수","2268","2264","20260204",""
"20260201","6호선","청구","1950","1864","20260204",""
"20260201","6호선","신당","5336","5814","20260204",""
"20260201","6호선","동묘앞","7913","7502","20260204",""
"20260201","6호선","창신","1769","1626","20260204",""
"20260201","6호선","보문","4642","4612","20260204",""
"20260201","6호선","안암(고대병원앞)","7050","6670","20260204",""
"20260201","6호선","고려대(종암)","4343","4335","20260204",""
"20260201","6호선","월곡(동덕여대)","6279","6096","20260204",""
"20260201","6호선","상월곡(한국과학기술연구원)","3644","3394","20260204",""
"20260201","6호선","돌곶이","7028","6597","20260204",""
"20260201","6호선","석계","6856","7277","20260204",""
"20260201","6호선","태릉입구","3674","3760","20260204",""
"20260201","6호선","화랑대(서울여대입구)","5465","4848","20260204",""
"20260201","6호선","봉화산(서울의료원)","4040","4036","20260204",""
"20260201","6호선","신내","1","0","20260204",""
"20260201","7호선","장암","1378","863","20260204",""
"20260201","7호선","도봉산","4654","6566","20260204",""
"20260201","7호선","수락산","7863","7703","20260204",""
"20260201","7호선","마들","6823","6387","20260204",""
"20260201","7호선","노원","11630","11515","20260204",""
"20260201","7호선","중계","8125","7693","20260204",""
"20260201","7호선","하계","9951","9524","20260204",""
"20260201","7호선","공릉(서울과학기술대)","7020","7075","20260204",""
"20260201","7호선","태릉입구","5048","4753","20260204",""
"20260201","7호선","먹골","6025","6020","20260204",""
"20260201","7호선","중화","6289","6175","20260204",""
"20260201","7호선","상봉","11027","10368","20260204",""
"20260201","7호선","면목","8019","8101","20260204",""
"20260201","7호선","사가정","9347","9069","20260204",""
"20260201","7호선","용마산(용마폭포공원)","3346","3499","20260204",""
"20260201","7호선","중곡","5913","5712","20260204",""
"20260201","7호선","군자(능동)","9198","7184","20260204",""
"20260201","7호선","어린이대공원(세종대)","8122","8305","20260204",""
"20260201","7호선","건대입구","9508","9696","20260204",""
"20260201","7호선","자양(뚝섬한강공원)","5951","5803","20260204",""
"20260201","7호선","청담","7207","7709","20260204",""
"20260201","7호선","강남구청","5570","6244","20260204",""
"20260201","7호선","학동","8074","8150","20260204",""
"20260201","7호선","논현","6520","6834","20260204",""
"20260201","7호선","반포","3527","3657","20260204",""
"20260201","7호선","고속터미널","13779","10140","20260204",""
"20260201","7호선","내방","6049","6240","20260204",""
"20260201","5호선","거여","4953","4895","20260204",""
"20260201","7호선","남성","6077","6111","20260204",""
"20260201","7호선","숭실대입구(살피재)","6119","6487","20260204",""
"20260201","7호선","상도","6238","6203","20260204",""
"20260201","7호선","장승배기","4836","4881","20260204",""
"20260201","7호선","신대방삼거리","8374","8269","20260204",""
"20260201","7호선","보라매","3609","3753","20260204",""
"20260201","7호선","신풍","6655","6281","20260204",""
"20260201","7호선","대림(구로구청)","8857","8418","20260204",""
"20260201","7호선","남구로","7052","7115","20260204",""
"20260201","7호선","가산디지털단지","10562","9842","20260204",""
"20260201","7호선","철산","11207","11409","20260204",""
"20260201","7호선","광명사거리","13621","13461","20260204",""
"20260201","7호선","천왕","5720","5596","20260204",""
"20260201","7호선","온수(성공회대입구)","4364","4232","20260204",""
"20260201","8호선","암사역사공원","3215","3051","20260204",""
"20260201","8호선","암사","8951","8694","20260204",""
"20260201","8호선","천호(풍납토성)","11864","13386","20260204",""
"20260201","8호선","강동구청","5338","5608","20260204",""
"20260201","8호선","몽촌토성(평화의문)","4473","4697","20260204",""
"20260201","8호선","잠실(송파구청)","15037","16494","20260204",""
"20260201","8호선","석촌","5509","6667","20260204",""
"20260201","8호선","송파","5049","5198","20260204",""
"20260201","8호선","가락시장","4009","5009","20260204",""
"20260201","8호선","문정","7600","7829","20260204",""
"20260201","8호선","장지","9576","9126","20260204",""
"20260201","8호선","복정","5300","4733","20260204",""
"20260201","8호선","산성","3171","3360","20260204",""
"20260201","8호선","남한산성입구(성남법원.검찰청)","6368","5927","20260204",""
"20260201","8호선","단대오거리","6241","6075","20260204",""
"20260201","8호선","신흥","3474","3540","20260204",""
"20260201","8호선","수진","3876","3534","20260204",""
"20260201","8호선","모란","2840","2461","20260204",""
"20260201","8호선","남위례","3834","3716","20260204",""
"20260201","9호선","개화","1049","1005","20260204",""
"20260201","9호선","김포공항","4881","9688","20260204",""
"20260201","9호선","공항시장","1867","2033","20260204",""
"20260201","9호선","신방화","3902","3989","20260204",""
"20260201","9호선","마곡나루(서울식물원)","8313","8369","20260204",""
"20260201","9호선","양천향교","4595","4961","20260204",""
"20260201","9호선","가양","11976","11775","20260204",""
"20260201","9호선","증미","2994","2829","20260204",""
"20260201","9호선","등촌","5881","6273","20260204",""
"20260201","9호선","염창","9554","9396","20260204",""
"20260201","9호선","신목동","2076","2027","20260204",""
"20260201","9호선","선유도","3332","3382","20260204",""
"20260201","9호선","당산","9997","9927","20260204",""
"20260201","9호선","국회의사당","6529","6139","20260204",""
"20260201","9호선","여의도","10971","9945","20260204",""
"20260201","9호선","샛강","2213","2055","20260204",""
"20260201","9호선","노량진","15909","16443","20260204",""
"20260201","9호선","노들","2859","2586","20260204",""
"20260201","9호선","흑석(중앙대입구)","4196","4317","20260204",""
"20260201","9호선","동작(현충원)","1212","1145","20260204",""
"20260201","9호선","구반포","423","396","20260204",""
"20260201","9호선","신반포","2567","2658","20260204",""
"20260201","9호선","고속터미널","11904","17742","20260204",""
"20260201","9호선","사평","1948","2044","20260204",""
"20260201","9호선","신논현","17630","17453","20260204",""
"20260201","9호선2~3단계","언주","4815","4759","20260204",""
"20260201","9호선2~3단계","선정릉","3861","4285","20260204",""
"20260201","9호선2~3단계","삼성중앙","2488","2534","20260204",""
"20260201","9호선2~3단계","봉은사","14285","15310","20260204",""
"20260201","9호선2~3단계","종합운동장","3779","3472","20260204",""
"20260201","9호선2~3단계","삼전","4663","4648","20260204",""
"20260201","9호선2~3단계","석촌고분","4083","4284","20260204",""
"20260201","9호선2~3단계","석촌","6182","5253","20260204",""
"20260201","9호선2~3단계","송파나루","3880","4133","20260204",""
"20260201","9호선2~3단계","한성백제","2018","1753","20260204",""
"20260201","9호선2~3단계","올림픽공원(한국체대)","10756","10559","20260204",""
"20260201","9호선2~3단계","둔촌오륜","2353","2361","20260204",""
"20260201","9호선2~3단계","중앙보훈병원","4833","4541","20260204",""
"20260201","경강선","판교","3270","2828","20260204",""
"20260201","경강선","이매","616","501","20260204",""
"20260201","경강선","삼동","1088","1057","20260204",""
"20260201","경강선","경기광주","4234","4168","20260204",""
"20260201","경강선","초월","1969","1924","20260204",""
"20260201","경강선","곤지암","1554","1619","20260204",""
"20260201","경강선","신둔도예촌","942","850","20260204",""
"20260201","경강선","이천","2226","2368","20260204",""
"20260201","경강선","부발","1689","2038","20260204",""
"20260201","경강선","세종대왕릉","272","260","20260204",""
"20260201","경강선","여주","2372","2263","20260204",""
"20260201","경강선","성남","702","749","20260204",""
"20260201","경부선","서울역","12894","3822","20260204",""
"20260201","경부선","남영","5804","6107","20260204",""
"20260201","경부선","용산","46552","43463","20260204",""
"20260201","경부선","노량진","6331","6231","20260204",""
"20260201","경부선","대방","4891","5771","20260204",""
"20260201","7호선","이수","9475","9238","20260204",""
"20260201","경부선","영등포","36545","35563","20260204",""
"20260201","경부선","신도림","2539","2992","20260204",""
"20260201","경부선","신길","4664","4399","20260204",""
"20260201","경부선","구로","10642","10765","20260204",""
"20260201","경부선","가산디지털단지","4680","6142","20260204",""
"20260201","경부선","금천구청","5725","5756","20260204",""
"20260201","경부선","석수","4520","4380","20260204",""
"20260201","경부선","관악","4733","4583","20260204",""
"20260201","경부선","안양","13742","13531","20260204",""
"20260201","경부선","명학","3349","3333","20260204",""
"20260201","경부선","금정","15797","16161","20260204",""
"20260201","경부선","군포","2766","2680","20260204",""
"20260201","경부선","의왕","4230","4272","20260204",""
"20260201","경부선","성균관대","9099","9207","20260204",""
"20260201","경부선","화서","8140","8023","20260204",""
"20260201","경부선","수원","36531","35499","20260204",""
"20260201","경부선","독산","6599","6675","20260204",""
"20260201","경부선","세류","2304","2200","20260204",""
"20260201","경부선","병점","9775","10449","20260204",""
"20260201","경부선","세마","2051","1934","20260204",""
"20260201","경부선","오산대","2458","2230","20260204",""
"20260201","경부선","오산","8190","8522","20260204",""
"20260201","경부선","진위","876","851","20260204",""
