agent_id,x_rev,y_rev,total_rev,approach_dwell,duration,detour_ratio,start_x,start_y,end_x,end_y,gate_idx
1708,8,10,18,5.9,10.6,1.21,3.5,8.3,9.4,13.9,5
1710,6,2,8,7.2,10.3,1.25,5.0,8.4,9.9,14.8,6
1713,2,5,7,6.6,8.7,1.25,5.4,9.5,9.9,14.3,5
1714,0,5,5,3.2,6.0,1.06,4.3,9.8,10.9,10.1,0
1715,8,15,23,5.5,11.6,1.25,4.6,10.7,9.7,9.9,0
1718,8,9,17,4.4,7.4,1.39,5.2,10.9,9.9,9.7,0
1721,0,11,11,2.9,7.3,1.1,5.2,10.7,10.4,11.1,1
1722,0,2,2,3.4,6.1,1.03,4.5,8.9,11.0,10.5,1
1725,2,7,9,4.8,9.0,1.04,4.4,9.7,10.3,10.8,1
1727,0,2,2,2.9,3.7,1.03,6.2,8.8,10.9,9.8,0
1729,0,6,6,3.8,7.5,1.04,4.5,8.6,10.4,10.5,1
1730,4,10,14,4.5,7.8,1.13,5.3,10.2,9.9,11.5,1
1731,4,6,10,4.8,10.7,1.2,4.0,10.8,9.4,10.1,0
1732,0,7,7,4.4,6.3,1.1,4.9,8.5,10.9,10.5,1
1734,15,18,33,7.6,11.9,1.38,4.5,9.8,9.4,10.8,1
1736,0,10,10,3.1,7.2,1.01,4.8,10.5,9.8,10.2,0
1740,0,1,1,2.5,4.2,1.09,5.6,11.7,10.2,14.9,5
1741,2,4,6,3.3,6.3,1.07,3.8,8.2,9.9,9.4,0
1743,0,1,1,3.4,7.4,1.05,3.9,9.8,10.4,12.5,3
1744,0,4,4,2.3,3.9,1.03,5.3,8.3,10.5,9.6,0
1745,2,2,4,5.8,10.2,1.18,4.0,9.0,9.9,13.9,5
1747,8,15,23,6.2,11.3,1.08,4.1,9.8,10.5,11.6,1
1752,0,2,2,2.8,4.6,1.02,5.4,9.0,9.9,9.7,0
1753,0,2,2,2.5,5.1,1.06,4.3,10.9,9.9,14.0,5
1755,0,4,4,3.2,5.8,1.03,4.9,8.4,10.2,9.5,0
1756,0,4,4,2.4,6.1,1.05,4.2,8.4,9.9,9.2,0
1757,0,4,4,3.3,6.4,1.04,4.9,8.9,10.3,9.9,0
1759,0,2,2,4.0,8.3,1.03,4.2,9.3,9.4,11.0,1
1761,2,8,10,5.4,9.3,1.08,5.1,8.9,9.9,10.2,1
1763,2,9,11,7.3,12.4,1.05,3.6,8.6,10.1,11.5,1
1765,16,23,39,9.0,12.7,1.31,4.1,8.1,9.8,10.7,1
1767,34,47,81,19.9,22.7,2.95,4.9,10.8,9.3,11.0,1
1768,0,6,6,4.9,9.4,1.05,3.9,9.3,10.3,10.7,2
1769,2,3,5,2.3,5.6,1.04,4.7,11.0,9.9,12.1,2
1772,0,8,8,4.7,9.0,1.02,3.8,10.8,9.8,11.5,1
1773,4,1,5,2.7,7.8,1.14,4.1,8.6,10.5,12.7,3
1778,2,2,4,6.6,10.1,1.1,5.1,7.7,9.4,11.9,2
1780,2,10,12,7.5,12.3,1.09,4.6,8.1,10.0,11.7,2
1782,2,2,4,7.1,12.7,1.11,4.7,8.7,9.8,11.7,2
1783,0,1,1,1.9,6.0,1.02,4.0,10.7,9.4,12.0,2
1784,2,4,6,2.8,9.7,1.1,4.8,9.5,9.5,12.2,2
1786,0,5,5,7.0,13.0,1.03,4.4,9.0,10.4,11.0,1
1791,1,3,4,4.6,8.6,1.1,5.5,9.9,10.1,11.6,1
1794,8,12,20,7.1,8.9,1.31,5.6,7.9,9.6,9.8,1
