scenario_id,p,config,seed,spawned,passed,avg_travel_time,p95_travel_time,n_completed,zone1_avg_density,zone1_max_density,zone2_avg_density,zone2_max_density,zone3_avg_density,zone3_max_density,zone4_avg_density,zone4_max_density
p10_cfg1_s42,0.1,1,42,212,201,40.30366666666667,59.71249999999998,150,0.058100000000000006,0.124,1.2008928571428572,3.4285714285714284,0.07638888888888888,0.16666666666666666,0.09722222222222221,0.16666666666666666
p10_cfg1_s43,0.1,1,43,206,205,39.23651315789474,55.945,152,0.05446666666666666,0.116,0.9970238095238094,2.857142857142857,0.08333333333333333,0.16666666666666666,0.09027777777777778,0.16666666666666666
p10_cfg1_s44,0.1,1,44,181,181,39.115436241610745,57.88,149,0.04703333333333334,0.1024,0.7321428571428571,2.4642857142857144,0.09722222222222221,0.16666666666666666,0.09722222222222221,0.16666666666666666
p10_cfg1_s45,0.1,1,45,203,203,39.59102564102564,57.8,156,0.05403333333333333,0.1128,0.8601190476190476,2.6785714285714284,0.09027777777777778,0.16666666666666666,0.09722222222222221,0.16666666666666666
p10_cfg1_s46,0.1,1,46,222,216,38.71455696202531,55.41750000000001,158,0.058666666666666666,0.1224,1.1622023809523812,3.5,0.07638888888888888,0.16666666666666666,0.09722222222222221,0.16666666666666666
p10_cfg2_s42,0.1,2,42,212,182,40.750689655172415,59.12999999999999,145,0.05916666666666667,0.1272,1.4360119047619049,3.9642857142857144,0.08333333333333333,0.16666666666666666,0.07638888888888888,0.16666666666666666
p10_cfg2_s43,0.1,2,43,206,184,39.28576158940397,56.050000000000004,151,0.05486666666666667,0.1152,1.2038690476190477,3.1785714285714284,0.08333333333333333,0.16666666666666666,0.07638888888888888,0.16666666666666666
p10_cfg2_s44,0.1,2,44,181,174,39.424829931972795,57.10000000000001,147,0.04736666666666667,0.1048,0.9866071428571428,3.0357142857142856,0.09027777777777778,0.16666666666666666,0.08333333333333333,0.16666666666666666
p10_cfg2_s45,0.1,2,45,203,184,39.556369426751594,56.95,157,0.053799999999999994,0.112,1.232142857142857,3.4642857142857144,0.08333333333333333,0.16666666666666666,0.09027777777777778,0.16666666666666666
p10_cfg2_s46,0.1,2,46,222,197,40.67814569536425,61.25,151,0.06143333333333333,0.128,1.4047619047619049,3.75,0.07638888888888888,0.16666666666666666,0.07638888888888888,0.16666666666666666
p10_cfg3_s42,0.1,3,42,212,152,41.36428571428571,60.72500000000001,126,0.06256666666666666,0.1296,1.9523809523809526,4.428571428571429,0.06944444444444443,0.16666666666666666,0.07638888888888888,0.16666666666666666
p10_cfg3_s43,0.1,3,43,206,145,40.78319327731093,59.905,119,0.06033333333333333,0.1216,1.8705357142857144,4.285714285714286,0.0625,0.16666666666666666,0.08333333333333333,0.16666666666666666
p10_cfg3_s44,0.1,3,44,181,137,40.995652173913044,62.220000000000006,115,0.0536,0.1088,1.5550595238095237,3.7857142857142856,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.16666666666666666
p10_cfg3_s45,0.1,3,45,203,167,39.92464788732395,60.480000000000004,142,0.056600000000000004,0.1144,1.4791666666666667,3.6785714285714284,0.07638888888888888,0.16666666666666666,0.09027777777777778,0.16666666666666666
p10_cfg3_s46,0.1,3,46,222,147,42.71422764227642,62.4,123,0.06663333333333334,0.1312,2.081845238095238,4.785714285714286,0.048611111111111105,0.16666666666666666,0.08333333333333333,0.16666666666666666
p10_cfg4_s42,0.1,4,42,212,118,41.225773195876286,66.88999999999999,97,0.0675,0.1328,2.3125,5.071428571428571,0.0625,0.16666666666666666,0.048611111111111105,0.16666666666666666
p10_cfg4_s43,0.1,4,43,206,124,39.42019230769232,61.4825,104,0.06276666666666667,0.1224,2.014880952380952,4.5,0.0625,0.16666666666666666,0.048611111111111105,0.16666666666666666
p10_cfg4_s44,0.1,4,44,181,119,39.56701030927835,59.41,97,0.05556666666666666,0.1128,1.7544642857142858,4.071428571428571,0.048611111111111105,0.16666666666666666,0.041666666666666664,0.16666666666666666
p10_cfg4_s45,0.1,4,45,203,118,40.57941176470589,65.28999999999998,102,0.06369999999999999,0.1176,2.1235119047619047,4.535714285714286,0.048611111111111105,0.16666666666666666,0.048611111111111105,0.16666666666666666
p10_cfg4_s46,0.1,4,46,222,113,42.40217391304348,70.37750000000001,92,0.0727,0.1408,2.5297619047619047,5.357142857142857,0.05555555555555555,0.16666666666666666,0.03472222222222222,0.16666666666666666
p30_cfg1_s42,0.3,1,42,212,202,38.962745098039214,58.76000000000002,153,0.0578,0.1232,0.9270833333333334,2.75,0.08333333333333333,0.16666666666666666,0.10416666666666667,0.16666666666666666
p30_cfg1_s43,0.3,1,43,206,185,38.62,57.88,145,0.056799999999999996,0.1176,0.9925595238095237,2.8214285714285716,0.09027777777777778,0.16666666666666666,0.08333333333333333,0.16666666666666666
p30_cfg1_s44,0.3,1,44,181,169,37.31740740740741,60.435,135,0.048433333333333335,0.104,0.8050595238095237,2.2857142857142856,0.07638888888888888,0.16666666666666666,0.09722222222222221,0.16666666666666666
p30_cfg1_s45,0.3,1,45,203,180,37.37263513513514,57.547500000000014,148,0.05463333333333333,0.1136,1.007440476190476,2.5714285714285716,0.08333333333333333,0.16666666666666666,0.09722222222222221,0.16666666666666666
p30_cfg1_s46,0.3,1,46,222,196,39.559395973154366,58.589999999999996,149,0.06223333333333333,0.1272,1.2574404761904763,3.357142857142857,0.07638888888888888,0.16666666666666666,0.09027777777777778,0.16666666666666666
p30_cfg2_s42,0.3,2,42,212,212,39.96953642384106,55.6,151,0.05773333333333334,0.1208,0.8199404761904763,2.642857142857143,0.08333333333333333,0.16666666666666666,0.09722222222222221,0.3333333333333333
p30_cfg2_s43,0.3,2,43,206,206,38.792857142857144,56.7025,154,0.05403333333333333,0.1128,0.7991071428571429,2.5714285714285716,0.07638888888888888,0.16666666666666666,0.09722222222222221,0.16666666666666666
p30_cfg2_s44,0.3,2,44,181,181,39.02315436241611,56.21999999999999,149,0.04723333333333333,0.1072,0.6205357142857143,2.0,0.07638888888888888,0.16666666666666666,0.09027777777777778,0.16666666666666666
p30_cfg2_s45,0.3,2,45,203,201,40.781,57.152499999999996,150,0.055900000000000005,0.116,0.8958333333333334,2.5714285714285716,0.07638888888888888,0.16666666666666666,0.10416666666666667,0.16666666666666666
