agent_id,spawn_time,queue_enter_time,sink_time,travel_time,gate_idx,is_tagless,sink_side,serviced
38204,26.55,33.4,47.550000000000004,21.000000000000004,3,1,upper,1
38205,26.75,38.15,63.7,36.95,3,1,upper,1
38206,27.55,35.0,49.150000000000006,21.600000000000005,3,1,upper,1
38207,27.950000000000003,39.150000000000006,66.45,38.5,3,1,upper,1
38209,29.450000000000003,36.550000000000004,50.900000000000006,21.450000000000003,3,1,upper,1
38210,29.650000000000002,36.95,53.45,23.8,3,1,upper,1
38211,29.950000000000003,40.650000000000006,71.8,41.849999999999994,3,1,upper,1
38212,30.75,38.650000000000006,65.60000000000001,34.85000000000001,3,1,upper,1
38213,31.0,40.150000000000006,69.45,38.45,3,1,upper,1
38215,31.200000000000003,39.650000000000006,68.60000000000001,37.400000000000006,3,1,upper,1
38216,31.75,42.5,60.550000000000004,28.800000000000004,2,0,lower,1
38217,31.950000000000003,41.650000000000006,75.2,43.25,3,1,upper,1
38218,32.25,43.150000000000006,81.15,48.900000000000006,3,1,upper,1
38219,33.45,41.150000000000006,73.5,40.05,3,1,upper,1
38220,33.95,42.900000000000006,56.900000000000006,22.950000000000003,4,0,upper,1
38222,34.75,43.650000000000006,82.85000000000001,48.10000000000001,3,1,upper,1
38223,34.95,45.650000000000006,89.2,54.25,3,1,upper,1
38224,35.2,42.650000000000006,79.45,44.25,3,1,upper,1
38225,35.4,42.150000000000006,77.75,42.35,3,1,upper,1
38227,35.6,44.650000000000006,86.25,50.65,3,1,upper,1
38228,35.85,48.150000000000006,97.85000000000001,62.00000000000001,3,1,upper,1
38229,36.050000000000004,45.0,60.650000000000006,24.6,6,0,upper,1
38230,36.25,45.150000000000006,87.30000000000001,51.05000000000001,3,1,upper,1
38232,36.5,48.2,62.550000000000004,26.050000000000004,0,0,lower,1
38234,36.7,46.150000000000006,90.30000000000001,53.60000000000001,3,1,upper,1
38237,36.9,48.650000000000006,99.55000000000001,62.65000000000001,3,1,upper,1
38238,37.800000000000004,50.400000000000006,64.75,26.949999999999996,4,0,upper,1
