time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,7,0,0,0
35.0,15,2,0,0
40.0,34,6,0,0
45.0,57,10,0,1
50.0,77,17,0,0
55.0,95,24,0,0
60.0,112,36,0,1
65.0,129,59,1,1
70.0,132,81,1,1
75.0,130,79,1,1
80.0,122,72,1,1
85.0,113,65,1,1
90.0,102,57,0,1
95.0,93,48,0,1
100.0,85,40,0,1
105.0,75,31,0,1
110.0,65,22,0,1
115.0,57,13,0,1
