agent_id,spawn_time,queue_enter_time,sink_time,travel_time,gate_idx,is_tagless,sink_side,serviced
19314,26.55,35.15,48.400000000000006,21.850000000000005,0,0,lower,1
19315,26.75,32.7,45.050000000000004,18.300000000000004,2,0,lower,1
19316,27.55,34.75,49.800000000000004,22.250000000000004,3,1,upper,1
19317,27.950000000000003,36.5,53.650000000000006,25.700000000000003,3,1,upper,1
19318,29.450000000000003,38.95,57.550000000000004,28.1,3,1,upper,1
19319,29.650000000000002,40.550000000000004,60.2,30.55,1,0,lower,1
19320,29.950000000000003,36.65,51.85,21.9,5,0,upper,1
19321,30.75,42.050000000000004,63.7,32.95,6,0,upper,1
19322,31.0,38.550000000000004,51.800000000000004,20.800000000000004,2,0,lower,1
19323,31.200000000000003,38.25,54.85,23.65,3,1,upper,1
19324,31.75,39.85,58.400000000000006,26.650000000000006,3,1,upper,1
19325,31.950000000000003,40.35,55.550000000000004,23.6,0,0,lower,1
19326,32.25,39.1,55.7,23.450000000000003,5,0,upper,1
19327,33.45,41.1,56.650000000000006,23.200000000000003,4,0,upper,1
19329,33.95,42.1,57.650000000000006,23.700000000000003,0,0,lower,1
19330,34.75,47.2,61.400000000000006,26.650000000000006,1,0,lower,1
19331,34.95,46.25,74.60000000000001,39.650000000000006,3,1,upper,1
19332,35.2,48.25,85.65,50.45,3,1,upper,1
19333,35.4,44.75,68.65,33.25000000000001,3,1,upper,1
19335,35.6,44.25,66.10000000000001,30.500000000000007,3,1,upper,1
19336,35.85,45.25,72.05,36.199999999999996,3,1,upper,1
19338,36.050000000000004,43.35,59.800000000000004,23.75,3,1,upper,1
19339,36.25,45.75,73.75,37.5,3,1,upper,1
19340,36.5,49.25,90.75,54.25,3,1,upper,1
19341,36.7,46.6,64.75,28.049999999999997,6,0,upper,1
19344,36.9,46.75,77.15,40.25000000000001,3,1,upper,1
19347,37.800000000000004,48.0,71.2,33.4,5,0,upper,1
19349,38.0,50.75,95.85000000000001,57.85000000000001,3,1,upper,1
19350,38.2,48.75,63.150000000000006,24.950000000000003,2,0,lower,1
19351,38.45,47.2,67.8,29.349999999999994,5,0,upper,1
19352,38.650000000000006,49.1,65.45,26.799999999999997,2,0,lower,1
19353,38.85,52.6,70.2,31.35,0,0,lower,1
19356,39.050000000000004,47.25,78.85000000000001,39.800000000000004,3,1,upper,1
19357,39.300000000000004,50.75,69.5,30.199999999999996,6,0,upper,1
19360,39.5,47.75,80.55000000000001,41.05000000000001,3,1,upper,1
19361,39.7,50.45,64.05,24.349999999999994,1,0,lower,1
19362,39.95,49.75,92.45,52.5,3,1,upper,1
19363,40.150000000000006,57.75,,,3,1,,1
19364,40.35,48.550000000000004,66.95,26.6,6,0,upper,1
19366,40.6,51.25,70.35000000000001,29.750000000000007,4,0,upper,1
19367,40.800000000000004,54.45,73.45,32.65,0,0,lower,1
19368,41.0,48.75,87.35000000000001,46.35000000000001,3,1,upper,1
19370,41.25,52.25,105.2,63.95,3,1,upper,1
19372,41.45,52.75,107.75,66.3,3,1,upper,1
19374,41.650000000000006,52.25,78.0,36.349999999999994,4,0,upper,1
19375,41.900000000000006,51.650000000000006,76.3,34.39999999999999,5,0,upper,1
19376,42.1,49.150000000000006,62.300000000000004,20.200000000000003,0,0,lower,1
19378,42.300000000000004,54.900000000000006,83.10000000000001,40.800000000000004,4,0,upper,1
19380,42.550000000000004,51.25,72.9,30.35,6,0,upper,1
19381,42.75,51.25,100.95,58.2,3,1,upper,1
19382,42.95,51.75,103.5,60.55,3,1,upper,1
19384,43.2,56.25,68.65,25.450000000000003,2,0,lower,1
19385,43.400000000000006,54.800000000000004,83.95,40.55,5,0,upper,1
19387,43.6,62.2,79.2,35.6,2,0,lower,1
19388,43.85,55.95,71.25,27.4,1,0,lower,1
19389,44.050000000000004,66.75,,,3,1,,0
19393,44.25,50.25,95.0,50.75,3,1,upper,1
19395,44.5,53.400000000000006,84.80000000000001,40.30000000000001,4,0,upper,1
19396,44.7,61.75,,,3,1,,1
19399,44.900000000000006,53.75,112.0,67.1,3,1,upper,1
19400,45.150000000000006,53.25,112.85000000000001,67.7,3,1,upper,1
19401,45.35,56.75,,,3,1,,1
19402,45.550000000000004,53.650000000000006,67.0,21.449999999999996,1,0,lower,1
19406,45.800000000000004,54.25,114.55000000000001,68.75,3,1,upper,1
19409,46.0,53.800000000000004,79.7,33.7,5,0,upper,1
19410,46.2,61.25,,,3,1,,1
19411,46.45,71.25,,,3,1,,0
19414,46.650000000000006,57.45,86.5,39.849999999999994,6,0,upper,1
19416,46.85,54.300000000000004,81.4,34.550000000000004,5,0,upper,1
19417,47.050000000000004,65.75,87.80000000000001,40.75000000000001,2,0,lower,1
19420,47.300000000000004,52.75,82.25,34.949999999999996,4,0,upper,1
19421,47.5,59.25,,,3,1,,1
19422,47.7,55.75,,,3,1,,1
19424,47.95,58.75,,,3,1,,1
19425,48.150000000000006,55.25,119.65,71.5,3,1,upper,1
19428,48.35,61.150000000000006,74.4,26.050000000000004,0,0,lower,1
19435,48.6,56.050000000000004,75.45,26.85,6,0,upper,1
19436,48.800000000000004,67.75,,,3,1,,0
19437,49.0,65.7,85.80000000000001,36.80000000000001,1,0,lower,1
19438,49.25,58.2,72.60000000000001,23.35000000000001,1,0,lower,1
19439,49.45,60.5,94.15,44.7,6,0,upper,1
19440,49.650000000000006,64.25,,,3,1,,0
19441,49.900000000000006,65.05,83.0,33.099999999999994,0,0,lower,1
19443,50.1,62.25,,,3,1,,1
19444,50.300000000000004,56.25,,,3,1,,1
19446,50.550000000000004,60.0,89.05000000000001,38.50000000000001,6,0,upper,1
19448,50.75,64.75,,,3,1,,1
19449,50.95,58.75,91.60000000000001,40.650000000000006,4,0,upper,1
19451,51.2,67.9,88.65,37.45,0,0,lower,1
19453,51.400000000000006,57.5,88.2,36.8,4,0,upper,1
19455,51.6,60.85,89.9,38.300000000000004,5,0,upper,1
19458,51.85,54.75,115.4,63.550000000000004,3,1,upper,1
19459,52.050000000000004,65.25,84.80000000000001,32.75000000000001,2,0,lower,1
19461,52.25,68.4,90.35000000000001,38.10000000000001,1,0,lower,1
19463,52.5,62.6,104.35000000000001,51.85000000000001,6,0,upper,1
19464,52.7,61.300000000000004,96.7,44.0,6,0,upper,1
19466,52.900000000000006,65.85000000000001,98.4,45.5,5,0,upper,1
19467,53.150000000000006,59.75,,,3,1,,1
19469,53.35,64.85000000000001,93.30000000000001,39.95000000000001,5,0,upper,1
19474,53.550000000000004,57.25,,,3,1,,1
19475,53.800000000000004,62.75,,,3,1,,1
19477,54.0,62.800000000000004,77.65,23.650000000000006,1,0,lower,1
19478,54.2,70.65,101.80000000000001,47.60000000000001,4,0,upper,1
19479,54.45,63.75,,,3,1,,1
19482,54.650000000000006,63.800000000000004,83.85000000000001,29.200000000000003,1,0,lower,1
19485,54.85,58.25,,,3,1,,1
19490,55.050000000000004,64.25,80.75,25.699999999999996,2,0,lower,1
19492,55.300000000000004,66.25,,,3,1,,0
19493,55.5,68.8,91.2,35.7,0,0,lower,1
19494,55.7,69.25,,,3,1,,0
19496,55.95,68.3,89.5,33.55,0,0,lower,1
19498,56.150000000000006,67.25,,,3,1,,0
19499,56.35,68.9,93.75,37.4,1,0,lower,1
19501,56.6,68.75,,,3,1,,0
19502,56.800000000000004,69.75,,,3,1,,0
19507,57.0,64.75,82.15,25.150000000000006,2,0,lower,1
19509,57.25,63.45,106.9,49.650000000000006,6,0,upper,1
19510,57.45,66.25,97.55000000000001,40.10000000000001,4,0,upper,1
19513,57.650000000000006,66.25,92.05000000000001,34.400000000000006,2,0,lower,1
19517,57.900000000000006,72.25,,,3,1,,0
19520,58.1,68.60000000000001,102.65,44.550000000000004,5,0,upper,1
19521,58.300000000000004,78.25,,,3,1,,0
19522,58.550000000000004,69.10000000000001,100.10000000000001,41.550000000000004,4,0,upper,1
19524,58.75,70.25,,,3,1,,0
19526,58.95,66.85000000000001,109.45,50.5,6,0,upper,1
19529,59.2,71.75,,,3,1,,0
19532,59.400000000000006,67.35000000000001,113.7,54.3,6,0,upper,1
19534,59.6,72.0,108.60000000000001,49.00000000000001,5,0,upper,1
19536,59.85,73.25,,,3,1,,0
19537,60.050000000000004,74.85000000000001,98.0,37.949999999999996,1,0,lower,1
19539,60.25,60.25,,,3,1,,1
19542,60.5,70.75,,,3,1,,0
19544,60.7,60.75,,,3,1,,1
