agent_id,spawn_time,queue_enter_time,sink_time,travel_time,gate_idx,is_tagless,sink_side,serviced
45889,23.8,30.3,44.900000000000006,21.100000000000005,5,1,upper,1
45890,26.6,32.7,48.35,21.75,6,0,upper,1
45891,27.75,35.550000000000004,51.050000000000004,23.300000000000004,2,1,lower,1
45892,29.650000000000002,36.9,52.400000000000006,22.750000000000004,2,1,lower,1
45893,30.0,37.550000000000004,54.650000000000006,24.650000000000006,4,1,upper,1
45894,30.25,37.45,51.650000000000006,21.400000000000006,5,1,upper,1
45895,30.450000000000003,39.1,55.400000000000006,24.950000000000003,1,0,lower,1
45896,30.650000000000002,39.400000000000006,58.150000000000006,27.500000000000004,3,1,upper,1
45897,31.05,41.6,61.650000000000006,30.600000000000005,5,1,upper,1
45898,31.450000000000003,44.150000000000006,66.8,35.349999999999994,4,1,upper,1
45901,31.650000000000002,44.2,62.1,30.45,2,1,lower,1
45902,31.900000000000002,42.0,59.050000000000004,27.150000000000002,4,1,upper,1
45903,32.1,39.5,55.550000000000004,23.450000000000003,5,1,upper,1
45905,32.300000000000004,39.150000000000006,56.400000000000006,24.1,3,1,upper,1
45906,32.550000000000004,45.2,75.3,42.74999999999999,4,1,upper,1
45907,32.75,43.050000000000004,56.800000000000004,24.050000000000004,2,1,lower,1
45908,32.95,38.900000000000006,53.150000000000006,20.200000000000003,6,0,upper,1
45909,33.2,40.550000000000004,59.900000000000006,26.700000000000003,3,1,upper,1
45910,33.4,42.650000000000006,64.25,30.85,5,1,upper,1
45911,33.6,44.2,68.5,34.9,4,1,upper,1
45912,33.85,46.75,65.05,31.199999999999996,0,0,lower,1
45913,34.050000000000004,45.7,72.75,38.699999999999996,4,1,upper,1
45914,34.25,48.1,65.9,31.650000000000006,2,1,lower,1
45915,34.5,42.1,57.300000000000004,22.800000000000004,6,0,upper,1
45916,34.7,49.6,73.65,38.95,2,1,lower,1
45919,34.9,47.900000000000006,69.35000000000001,34.45000000000001,5,1,upper,1
45921,35.15,42.2,57.650000000000006,22.500000000000007,1,0,lower,1
45922,35.35,45.85,67.65,32.300000000000004,3,1,upper,1
45924,35.550000000000004,48.6,70.75,35.199999999999996,2,1,lower,1
45927,35.800000000000004,45.35,65.10000000000001,29.300000000000004,3,1,upper,1
45928,36.0,49.650000000000006,77.85000000000001,41.85000000000001,5,1,upper,1
45929,36.2,46.900000000000006,63.400000000000006,27.200000000000003,5,1,upper,1
45930,36.45,52.35,68.2,31.75,1,0,lower,1
45931,36.65,44.85,62.550000000000004,25.900000000000006,3,1,upper,1
45934,36.85,48.400000000000006,78.7,41.85,4,1,upper,1
45937,37.1,47.300000000000004,63.300000000000004,26.200000000000003,2,1,lower,1
45938,37.300000000000004,48.900000000000006,79.55000000000001,42.25000000000001,4,1,upper,1
45942,37.5,46.25,64.15,26.650000000000006,0,0,lower,1
45943,37.75,45.7,58.85,21.1,0,0,lower,1
45947,37.95,49.1,71.8,33.849999999999994,2,1,lower,1
45949,38.15,50.75,77.2,39.050000000000004,2,1,lower,1
45954,38.400000000000006,44.45,60.800000000000004,22.4,6,0,upper,1
45956,38.6,51.35,85.5,46.9,5,1,upper,1
45960,38.800000000000004,49.75,71.05,32.24999999999999,3,1,upper,1
45962,39.0,51.95,87.2,48.2,5,1,upper,1
45963,39.25,49.25,70.2,30.950000000000003,3,1,upper,1
45964,39.45,54.400000000000006,74.5,35.05,1,0,lower,1
