time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,5,1,0,0
35.0,22,3,0,0
40.0,44,9,0,0
45.0,65,17,0,1
50.0,86,22,1,0
55.0,102,31,0,1
60.0,118,42,1,1
65.0,130,59,0,1
70.0,146,74,0,1
75.0,155,96,1,1
80.0,145,93,1,1
85.0,134,82,1,1
90.0,125,72,1,1
95.0,119,65,1,1
100.0,105,53,1,1
105.0,92,40,1,1
110.0,81,30,1,1
115.0,69,18,1,1
