agent_id,spawn_time,queue_enter_time,sink_time,travel_time,gate_idx,is_tagless,sink_side,serviced
28055,25.650000000000002,32.0,45.35,19.7,3,1,upper,1
28056,28.05,34.75,48.1,20.05,3,1,upper,1
28057,28.900000000000002,40.6,61.300000000000004,32.400000000000006,2,0,lower,1
28058,29.200000000000003,36.45,49.650000000000006,20.450000000000003,1,0,lower,1
28059,29.450000000000003,38.25,53.800000000000004,24.35,3,1,upper,1
28060,30.400000000000002,36.75,51.300000000000004,20.900000000000002,3,1,upper,1
28061,30.6,43.75,56.35,25.75,0,0,lower,1
28062,30.85,38.85,58.550000000000004,27.700000000000003,3,1,upper,1
28063,31.05,42.7,72.3,41.25,3,1,upper,1
28064,31.25,40.150000000000006,57.7,26.450000000000003,6,0,upper,1
28065,31.5,40.2,63.800000000000004,32.300000000000004,3,1,upper,1
28066,31.700000000000003,42.2,70.60000000000001,38.900000000000006,3,1,upper,1
28067,31.900000000000002,45.7,82.65,50.75,3,1,upper,1
28068,32.15,42.300000000000004,59.400000000000006,27.250000000000007,6,0,upper,1
28069,32.35,40.7,65.5,33.15,3,1,upper,1
28071,32.65,39.45,62.050000000000004,29.400000000000006,3,1,upper,1
28072,33.050000000000004,41.7,68.05,34.99999999999999,3,1,upper,1
28075,33.35,38.85,55.45,22.1,5,0,upper,1
28076,33.65,41.2,67.2,33.550000000000004,3,1,upper,1
28077,34.0,41.650000000000006,60.300000000000004,26.300000000000004,5,0,upper,1
28078,34.25,47.25,66.35000000000001,32.10000000000001,4,0,upper,1
28080,34.45,43.2,74.10000000000001,39.650000000000006,3,1,upper,1
28081,34.65,43.7,75.85000000000001,41.20000000000001,3,1,upper,1
28082,34.9,50.7,103.05000000000001,68.15,3,1,upper,1
28083,35.1,44.150000000000006,61.150000000000006,26.050000000000004,6,0,upper,1
28084,35.300000000000004,47.7,92.85000000000001,57.550000000000004,3,1,upper,1
28085,35.550000000000004,44.7,79.25,43.699999999999996,3,1,upper,1
28087,35.75,45.2,81.80000000000001,46.05000000000001,3,1,upper,1
28090,35.95,47.95,63.85,27.9,1,0,lower,1
28093,36.2,47.2,91.15,54.95,3,1,upper,1
28094,36.4,44.2,77.55000000000001,41.15000000000001,3,1,upper,1
28095,36.6,46.300000000000004,59.400000000000006,22.800000000000004,0,0,lower,1
28096,36.85,49.7,99.65,62.800000000000004,3,1,upper,1
28098,37.050000000000004,45.25,62.400000000000006,25.35,1,0,lower,1
28099,37.25,49.300000000000004,64.65,27.400000000000006,5,0,upper,1
28100,37.45,64.7,,,3,1,,0
28101,37.7,56.2,,,3,1,,1
28102,37.9,51.7,108.25,70.35,3,1,upper,1
28104,38.1,46.7,87.75,49.65,3,1,upper,1
28105,38.35,55.25,70.60000000000001,32.25000000000001,2,0,lower,1
28106,38.550000000000004,50.0,67.2,28.65,2,0,lower,1
28108,38.75,48.7,95.4,56.650000000000006,3,1,upper,1
28111,39.0,48.2,93.7,54.7,3,1,upper,1
28113,39.2,44.650000000000006,62.900000000000006,23.700000000000003,6,0,upper,1
28115,39.400000000000006,46.2,84.35000000000001,44.95,3,1,upper,1
28116,39.650000000000006,69.2,,,3,1,,0
28118,39.85,49.2,97.95,58.1,3,1,upper,1
28119,40.050000000000004,51.550000000000004,69.75,29.699999999999996,4,0,upper,1
28121,40.300000000000004,63.7,,,3,1,,0
28122,40.5,51.900000000000006,71.45,30.950000000000003,5,0,upper,1
28125,40.7,59.2,,,3,1,,1
28127,40.95,98.7,,,3,1,,0
28128,41.150000000000006,54.7,75.0,33.849999999999994,6,0,upper,1
28129,41.35,53.2,65.45,24.1,0,0,lower,1
28131,41.6,101.2,,,3,1,,0
28132,41.800000000000004,101.7,,,3,1,,0
28135,42.0,54.85,71.95,29.950000000000003,1,0,lower,1
28139,42.25,50.2,101.35000000000001,59.10000000000001,3,1,upper,1
28140,42.45,55.800000000000004,73.25,30.799999999999997,4,0,upper,1
28143,42.650000000000006,51.45,69.75,27.099999999999994,1,0,lower,1
28144,42.900000000000006,62.7,,,3,1,,0
