agent_id,spawn_time,queue_enter_time,sink_time,travel_time,gate_idx,is_tagless,sink_side,serviced
42942,26.05,34.050000000000004,50.050000000000004,24.000000000000004,1,0,lower,1
42943,26.400000000000002,34.75,46.7,20.3,0,0,lower,1
42944,26.700000000000003,34.7,52.400000000000006,25.700000000000003,3,1,upper,1
42945,26.900000000000002,37.25,55.550000000000004,28.650000000000002,4,1,upper,1
42946,27.200000000000003,41.45,63.400000000000006,36.2,2,1,lower,1
42947,28.05,36.4,52.45,24.400000000000002,2,1,lower,1
42948,28.700000000000003,41.2,56.550000000000004,27.85,6,0,upper,1
42949,28.900000000000002,35.7,48.800000000000004,19.900000000000002,2,1,lower,1
42950,29.8,41.1,60.050000000000004,30.250000000000004,4,1,upper,1
42951,30.05,39.150000000000006,58.300000000000004,28.250000000000004,5,0,upper,1
42952,30.3,40.300000000000004,59.150000000000006,28.850000000000005,3,1,upper,1
42956,30.5,36.800000000000004,49.900000000000006,19.400000000000006,4,1,upper,1
42957,30.700000000000003,42.1,64.25,33.55,2,1,lower,1
42959,30.950000000000003,38.300000000000004,53.7,22.75,3,1,upper,1
42960,31.150000000000002,39.35,54.050000000000004,22.900000000000002,2,1,lower,1
42961,31.35,43.7,67.10000000000001,35.75000000000001,4,1,upper,1
42962,31.6,42.0,61.900000000000006,30.300000000000004,4,1,upper,1
42963,31.8,41.300000000000004,57.050000000000004,25.250000000000004,1,0,lower,1
42964,32.0,44.800000000000004,69.65,37.650000000000006,3,1,upper,1
42965,32.25,43.900000000000006,67.05,34.8,2,1,lower,1
42968,32.5,39.75,57.400000000000006,24.900000000000006,4,1,upper,1
42969,32.7,42.75,65.95,33.25,2,1,lower,1
42971,32.9,41.050000000000004,60.900000000000006,28.000000000000007,3,1,upper,1
42972,33.15,45.35,65.4,32.25000000000001,6,0,upper,1
42973,33.35,43.800000000000004,66.25,32.9,3,1,upper,1
42974,33.6,45.95,68.7,35.1,2,1,lower,1
42976,33.800000000000004,42.800000000000004,62.85,29.049999999999997,3,1,upper,1
42977,34.15,43.300000000000004,64.55,30.4,3,1,upper,1
42978,34.65,45.95,59.650000000000006,25.000000000000007,0,0,lower,1
42979,34.9,45.45,70.5,35.6,4,1,upper,1
42981,35.1,44.25,68.8,33.699999999999996,4,1,upper,1
42983,35.300000000000004,46.95,71.60000000000001,36.300000000000004,2,1,lower,1
42984,35.550000000000004,46.45,73.05,37.49999999999999,4,1,upper,1
42986,35.75,45.550000000000004,71.35000000000001,35.60000000000001,3,1,upper,1
42988,36.050000000000004,47.45,79.0,42.949999999999996,4,1,upper,1
42991,36.35,48.7,65.10000000000001,28.750000000000007,0,0,lower,1
42992,36.6,51.150000000000006,81.25,44.65,2,1,lower,1
42993,36.800000000000004,44.300000000000004,67.95,31.15,3,1,upper,1
42995,37.0,46.95,75.60000000000001,38.60000000000001,4,1,upper,1
42996,37.25,48.35,77.30000000000001,40.05000000000001,3,1,upper,1
42997,37.45,48.45,84.10000000000001,46.650000000000006,4,1,upper,1
42998,37.65,53.150000000000006,88.15,50.50000000000001,2,1,lower,1
42999,37.9,48.85,79.85000000000001,41.95000000000001,3,1,upper,1
43001,38.1,48.1,73.05,34.949999999999996,2,1,lower,1
43002,38.300000000000004,46.45,70.10000000000001,31.800000000000004,2,1,lower,1
43003,38.550000000000004,49.35,82.4,43.85,3,1,upper,1
43005,38.75,47.95,81.55000000000001,42.80000000000001,4,1,upper,1
43006,38.95,50.650000000000006,79.55000000000001,40.60000000000001,2,1,lower,1
43007,39.2,46.400000000000006,63.7,24.5,5,0,upper,1
43009,39.400000000000006,47.85,76.45,37.05,3,1,upper,1
43013,39.6,49.800000000000004,93.45,53.85,4,1,upper,1
43015,39.85,52.650000000000006,86.45,46.6,2,1,lower,1
43018,40.050000000000004,49.85,84.95,44.9,3,1,upper,1
43020,40.25,49.650000000000006,75.60000000000001,35.35000000000001,2,1,lower,1
43021,40.5,59.650000000000006,110.25,69.75,2,1,lower,1
43023,40.7,50.300000000000004,96.85000000000001,56.150000000000006,4,1,upper,1
43024,40.900000000000006,52.300000000000004,107.9,67.0,4,1,upper,1
43025,41.150000000000006,47.0,73.9,32.75,3,1,upper,1
43026,41.35,50.150000000000006,77.30000000000001,35.95000000000001,2,1,lower,1
43027,41.550000000000004,52.150000000000006,84.10000000000001,42.550000000000004,2,1,lower,1
43030,41.800000000000004,50.800000000000004,90.9,49.1,4,1,upper,1
43031,42.0,51.300000000000004,94.30000000000001,52.30000000000001,4,1,upper,1
43032,42.2,52.5,91.75,49.55,3,1,upper,1
43034,42.400000000000006,50.35,88.35000000000001,45.95,3,1,upper,1
43037,42.650000000000006,49.800000000000004,62.550000000000004,19.9,1,0,lower,1
43041,42.85,48.95,87.5,44.65,4,1,upper,1
43042,43.050000000000004,51.800000000000004,99.4,56.35,4,1,upper,1
43043,43.300000000000004,51.650000000000006,82.4,39.1,2,1,lower,1
43049,43.5,54.650000000000006,92.85000000000001,49.35000000000001,2,1,lower,1
43050,43.7,50.85,90.05000000000001,46.35000000000001,3,1,upper,1
43051,43.95,53.800000000000004,109.60000000000001,65.65,4,1,upper,1
43052,44.150000000000006,56.0,74.75,30.599999999999994,5,0,upper,1
43054,44.35,52.800000000000004,107.05000000000001,62.70000000000001,4,1,upper,1
43056,44.6,53.2,95.15,50.550000000000004,3,1,upper,1
43057,44.800000000000004,57.050000000000004,72.2,27.4,6,0,upper,1
43058,45.0,59.95,74.75,29.75,0,0,lower,1
43062,45.25,58.7,73.9,28.650000000000006,1,0,lower,1
43063,45.45,55.650000000000006,97.10000000000001,51.650000000000006,2,1,lower,1
43064,45.650000000000006,56.150000000000006,98.80000000000001,53.150000000000006,2,1,lower,1
43065,45.900000000000006,53.650000000000006,90.2,44.3,2,1,lower,1
43066,46.1,57.150000000000006,101.10000000000001,55.00000000000001,2,1,lower,1
43068,46.300000000000004,55.2,102.80000000000001,56.50000000000001,3,1,upper,1
43069,46.550000000000004,57.7,116.4,69.85,3,1,upper,1
43070,46.75,56.300000000000004,,,4,1,,1
43073,46.95,53.300000000000004,105.35000000000001,58.400000000000006,4,1,upper,1
43075,47.2,56.800000000000004,119.80000000000001,72.60000000000001,4,1,upper,1
43076,47.400000000000006,60.150000000000006,111.95,64.55,2,1,lower,1
43078,47.6,54.300000000000004,113.85000000000001,66.25,4,1,upper,1
43080,47.85,54.150000000000006,91.35000000000001,43.50000000000001,2,1,lower,1
43082,48.050000000000004,62.900000000000006,85.80000000000001,37.75000000000001,6,0,upper,1
43084,48.25,55.150000000000006,95.4,47.150000000000006,2,1,lower,1
43086,48.5,54.7,101.10000000000001,52.60000000000001,3,1,upper,1
43090,48.7,53.7,97.7,49.0,3,1,upper,1
43091,48.900000000000006,57.2,113.0,64.1,3,1,upper,1
43092,49.150000000000006,55.7,104.5,55.349999999999994,3,1,upper,1
43093,49.35,56.2,108.75,59.4,3,1,upper,1
43094,49.550000000000004,54.800000000000004,114.7,65.15,4,1,upper,1
43098,49.800000000000004,58.150000000000006,105.5,55.699999999999996,2,1,lower,1
43099,50.0,56.650000000000006,99.80000000000001,49.80000000000001,2,1,lower,1
43100,50.2,55.800000000000004,118.10000000000001,67.9,4,1,upper,1
43105,50.400000000000006,61.45,76.45,26.049999999999997,0,0,lower,1
43106,50.650000000000006,59.150000000000006,108.7,58.05,2,1,lower,1
43107,50.85,57.650000000000006,103.45,52.6,2,1,lower,1
43109,51.050000000000004,63.300000000000004,83.25,32.199999999999996,1,0,lower,1
43110,51.300000000000004,62.2,,,3,1,,1
43115,51.5,62.2,83.25,31.75,6,0,upper,1
43116,51.7,60.800000000000004,,,4,1,,1
43118,51.95,56.7,111.30000000000001,59.35000000000001,3,1,upper,1
43122,52.150000000000006,54.2,100.25,48.099999999999994,3,1,upper,1
43124,52.35,55.300000000000004,115.55000000000001,63.20000000000001,4,1,upper,1
43125,52.6,66.55,87.30000000000001,34.70000000000001,1,0,lower,1
43128,52.800000000000004,58.050000000000004,78.15,25.35,5,0,upper,1
43129,53.0,61.300000000000004,,,4,1,,1
43133,53.25,64.65,89.2,35.95,5,0,upper,1
43134,53.45,58.800000000000004,,,4,1,,1
43135,53.650000000000006,64.5,78.25,24.599999999999994,0,0,lower,1
43138,53.900000000000006,61.800000000000004,,,4,1,,1
43139,54.1,60.7,,,3,1,,1
43140,54.300000000000004,63.150000000000006,,,2,1,,1
43141,54.550000000000004,59.7,,,3,1,,1
43142,54.75,65.0,84.95,30.200000000000003,0,0,lower,1
43144,54.95,62.650000000000006,,,2,1,,1
43145,55.2,59.300000000000004,,,4,1,,1
43146,55.400000000000006,58.2,117.25,61.849999999999994,3,1,upper,1
43150,55.6,58.650000000000006,107.0,51.4,2,1,lower,1
