agent_id,spawn_time,queue_enter_time,sink_time,travel_time,gate_idx,is_tagless,sink_side,serviced
30684,27.200000000000003,34.0,46.85,19.65,0,0,lower,1
30685,27.5,35.25,52.550000000000004,25.050000000000004,4,1,upper,1
30686,28.450000000000003,36.65,51.1,22.65,3,1,upper,1
30687,29.0,36.9,56.050000000000004,27.050000000000004,4,1,upper,1
30689,29.25,36.4,54.300000000000004,25.050000000000004,4,1,upper,1
30690,30.450000000000003,40.35,57.800000000000004,27.35,5,0,upper,1
30691,30.700000000000003,38.050000000000004,53.400000000000006,22.700000000000003,3,1,upper,1
30692,30.900000000000002,40.050000000000004,60.7,29.8,6,0,upper,1
30693,31.1,38.45,55.150000000000006,24.050000000000004,3,1,upper,1
30694,31.35,39.45,62.400000000000006,31.050000000000004,4,1,upper,1
30695,31.55,38.6,56.900000000000006,25.350000000000005,4,1,upper,1
30696,31.75,39.75,58.7,26.950000000000003,3,1,upper,1
30697,32.050000000000004,41.150000000000006,59.85,27.799999999999997,3,1,upper,1
30698,33.35,44.550000000000004,58.050000000000004,24.700000000000003,0,0,lower,1
30699,33.6,43.650000000000006,65.0,31.4,4,1,upper,1
30700,33.800000000000004,40.6,53.550000000000004,19.75,2,0,lower,1
30701,34.0,41.650000000000006,61.550000000000004,27.550000000000004,3,1,upper,1
30703,34.65,43.85,59.400000000000006,24.750000000000007,1,0,lower,1
30704,34.85,42.800000000000004,64.15,29.300000000000004,4,1,upper,1
30705,35.1,45.150000000000006,67.55,32.449999999999996,6,0,upper,1
30706,35.300000000000004,46.7,73.5,38.199999999999996,4,1,upper,1
30708,35.5,50.150000000000006,72.5,37.0,2,0,lower,1
30710,35.75,43.75,65.85000000000001,30.10000000000001,6,0,upper,1
30711,35.95,48.400000000000006,72.65,36.7,4,1,upper,1
30712,36.15,45.300000000000004,66.7,30.550000000000004,4,1,upper,1
30713,36.4,47.7,70.10000000000001,33.70000000000001,5,0,upper,1
30715,36.6,48.25,69.25,32.65,3,1,upper,1
30717,36.800000000000004,47.95,67.0,30.199999999999996,0,0,lower,1
30718,37.0,52.25,87.95,50.95,3,1,upper,1
30719,37.25,44.300000000000004,63.300000000000004,26.050000000000004,3,1,upper,1
30720,37.45,49.800000000000004,79.45,42.0,4,1,upper,1
30721,37.65,58.400000000000006,81.35000000000001,43.70000000000001,1,0,lower,1
30723,37.9,50.800000000000004,89.65,51.75000000000001,4,1,upper,1
30724,38.1,50.300000000000004,83.7,45.6,4,1,upper,1
30726,38.300000000000004,47.1,68.4,30.1,3,1,upper,1
30727,38.550000000000004,49.75,80.30000000000001,41.75000000000001,3,1,upper,1
30728,38.75,48.1,60.800000000000004,22.050000000000004,2,0,lower,1
30729,38.95,47.45,74.35000000000001,35.400000000000006,4,1,upper,1
30730,39.2,50.75,84.55000000000001,45.35000000000001,3,1,upper,1
30731,39.400000000000006,47.900000000000006,71.8,32.39999999999999,5,0,upper,1
30732,39.6,53.75,95.60000000000001,56.00000000000001,3,1,upper,1
30734,39.85,51.300000000000004,90.5,50.65,4,1,upper,1
30736,40.050000000000004,52.900000000000006,78.60000000000001,38.550000000000004,5,0,upper,1
30737,40.25,48.75,70.95,30.700000000000003,3,1,upper,1
30739,40.5,50.25,81.15,40.650000000000006,3,1,upper,1
30740,40.7,54.400000000000006,75.2,34.5,6,0,upper,1
30741,40.900000000000006,49.900000000000006,68.15,27.25,0,0,lower,1
30743,41.150000000000006,49.25,76.9,35.75,3,1,upper,1
30744,41.35,55.050000000000004,74.2,32.85,2,0,lower,1
30752,41.650000000000006,52.800000000000004,91.35000000000001,49.7,4,1,upper,1
30754,41.800000000000004,53.800000000000004,96.45,54.65,4,1,upper,1
30757,42.0,49.7,62.400000000000006,20.400000000000006,1,0,lower,1
30760,42.2,53.25,93.05000000000001,50.85000000000001,3,1,upper,1
30761,42.45,54.300000000000004,103.25,60.8,4,1,upper,1
30762,42.650000000000006,60.95,79.60000000000001,36.95,0,0,lower,1
30764,42.85,51.25,85.4,42.550000000000004,3,1,upper,1
30765,43.1,51.75,86.25,43.15,3,1,upper,1
30767,43.300000000000004,57.7,82.85000000000001,39.550000000000004,6,0,upper,1
30770,43.5,57.45,71.10000000000001,27.60000000000001,1,0,lower,1
30771,43.75,57.800000000000004,116.0,72.25,4,1,upper,1
30775,43.95,53.300000000000004,94.75,50.8,4,1,upper,1
30778,44.150000000000006,51.95,76.05,31.89999999999999,5,0,upper,1
30779,44.400000000000006,56.300000000000004,110.05000000000001,65.65,4,1,upper,1
30783,44.6,55.800000000000004,111.75,67.15,4,1,upper,1
30784,44.800000000000004,56.400000000000006,77.75,32.949999999999996,6,0,upper,1
30786,45.0,54.800000000000004,99.0,54.0,4,1,upper,1
30788,45.25,52.75,92.2,46.95,3,1,upper,1
30792,45.45,52.300000000000004,97.30000000000001,51.85000000000001,4,1,upper,1
30796,45.650000000000006,55.75,105.80000000000001,60.150000000000006,3,1,upper,1
30797,45.900000000000006,57.25,113.45,67.55,3,1,upper,1
30799,46.1,56.800000000000004,112.60000000000001,66.5,4,1,upper,1
30800,46.300000000000004,55.25,104.95,58.65,3,1,upper,1
30801,46.550000000000004,69.25,,,3,1,,0
30803,46.75,59.5,73.35000000000001,26.60000000000001,0,0,lower,1
30804,46.95,54.25,99.85000000000001,52.900000000000006,3,1,upper,1
30808,47.2,59.800000000000004,80.45,33.25,2,0,lower,1
30809,47.400000000000006,59.300000000000004,,,4,1,,1
30810,47.6,63.75,,,3,1,,1
30811,47.85,60.900000000000006,82.2,34.35,2,0,lower,1
30812,48.050000000000004,57.300000000000004,,,4,1,,1
30813,48.25,62.400000000000006,83.05000000000001,34.80000000000001,1,0,lower,1
30815,48.5,54.75,101.55000000000001,53.05000000000001,3,1,upper,1
30818,48.7,55.300000000000004,108.35000000000001,59.650000000000006,4,1,upper,1
30825,49.050000000000004,62.800000000000004,,,4,1,,1
30826,49.150000000000006,60.25,,,3,1,,1
30829,49.35,56.0,69.7,20.35,0,0,lower,1
30835,49.650000000000006,67.85000000000001,,,4,1,,0
30837,49.800000000000004,59.800000000000004,,,4,1,,1
30839,50.0,64.5,83.9,33.900000000000006,2,0,lower,1
30841,50.2,57.75,114.30000000000001,64.10000000000001,3,1,upper,1
30842,50.45,58.300000000000004,,,4,1,,1
30848,50.650000000000006,65.25,,,3,1,,1
